Airport_IATA,City,Country,Latitude,Longitude
UCB,Ulanqab,China,41.127387,113.109993
FTE,El Calafate,Argentina,-50.284227,-72.053695
BAR,Qionghai,China,19.139421,110.456806
TIJ,Tijuana,Mexico,32.544303,-116.975924
ADB,Izmir,Turkiye,38.294403,27.147594
KOA,Kailua-Kona,United States,19.736174,-156.041077
ZHA,Zhanjiang,China,21.214727,110.362715
SQN,Sanana,Indonesia,-2.098013,125.965079
DJG,Djanet,Algeria,24.293056,9.451944
ONK,Olenyok,Russia,68.515556,112.479167
LEC,Lencois,Brazil,-12.486064,-41.274079
SBD,San Bernardino,United States,34.098476,-117.242902
BRD,Brainerd,United States,46.397222,-94.1375
NQZ,Astana,Kazakhstan,51.027811,71.461199
SVO,Moscow,Russia,55.966324,37.416574
NBX,Nabire,Indonesia,-3.366667,135.433333
IQM,Qiemo,China,38.144572,85.531552
ELH,North Eleuthera,Bahamas,25.476917,-76.681926
BHQ,Broken Hill,Australia,-32.000589,141.468921
MCK,McCook,United States,40.206299,-100.592003
DOD,Dodoma,United Republic of Tanzania,-6.17044,35.752695
DBR,Darbhanga,India,26.1933,85.9114
KGE,Kaghau Island,Solomon Islands,-7.33278,157.58694
DSS,Dakar,Senegal,14.670754,-17.070913
CJS,Ciudad Juarez,Mexico,31.635929,-106.436098
GMQ,Golog,China,34.415833,100.311111
VRY,Vaeroy,Norway,67.654561,12.72707
BRK,Bourke,Australia,-30.083333,145.933333
HIB,Hibbing,United States,47.388611,-92.838611
NAU,Napuka Island,French Polynesia,-14.166667,-141.583333
IXY,Kandla,India,23.111111,70.104167
KGA,Kananga,The Democratic Republic of The Congo,-5.922,22.469167
TGM,Targu-Mures,Romania,46.467719,24.412525
JAN,Jackson,United States,32.309896,-90.074955
JSO,Sobral,Brazil,-3.67837,-40.346469
NJF,Al-Najaf,Iraq,31.989792,44.404576
KAN,Kano,Nigeria,12.045549,8.522271
IIL,Ilaam,Iran,33.586367,46.399236
XTG,Thargomindah,Australia,-27.987414,143.815152
TTE,Ternate,Indonesia,0.832233,127.379132
IDA,Idaho Falls,United States,43.514854,-112.06751
YNC,Wemindji,Canada,53,-78.816667
IXS,Silchar,India,24.916017,92.979255
MOK,Muynaq,Uzbekistan,43.755833,59.029722
ORK,Cork,Ireland,51.849107,-8.489847
MJI,"Mitiga, Tripoli",Libya,32.897222,13.277778
OYE,Oyem,Gabon,1.536975,11.578365
ZEL,Bella Bella,Canada,52.185001,-128.156994
ZYR,Brussels,Belgium,50.836945,4.335556
SHD,Staunton,United States,38.263889,-78.896667
YKL,Schefferville,Canada,54.805294,-66.805282
GAJ,Yamagata,Japan,38.411944,140.371111
DBQ,Dubuque,United States,42.41,-90.710833
IFN,Isfahan,Iran,32.745686,51.876381
CHA,Chattanooga,United States,35.036925,-85.197784
MKY,Mackay,Australia,-21.176284,149.181789
YIH,Yichang,China,30.549934,111.478938
KOO,Kongolo,The Democratic Republic of The Congo,-5.394122,26.990874
IZA,Juiz de Fora,Brazil,-21.513056,-43.173056
KIK,Kirkuk,Iraq,35.513314,44.283615
OHH,Okha,Russia,53.516666,142.88333
MYY,Miri,Malaysia,4.324112,113.988106
FLS,Flinders Island,Australia,-40.0917,147.993001
OME,Nome,United States,64.510601,-165.431055
PNS,Pensacola,United States,30.475942,-87.194157
ORU,Oruro,Bolivia,-17.962283,-67.07796
TZX,Trabzon,Turkiye,40.994191,39.781681
MGT,Milingimbi,Australia,-12.093703,134.893518
KSJ,Kasos Island,Greece,35.421267,26.910895
GLT,Gladstone,Australia,-23.871469,151.223506
TVY,Dawe,Myanmar,14.1,98.2
XMH,Manihi,French Polynesia,-14.437609,-146.070784
CUF,Cuneo,Italy,44.535278,7.6175
AOK,Karpathos,Greece,35.420683,27.146728
UKX,Ust-Kut,Russia,56.85,105.733333
BNN,Bronnoysund,Norway,65.459439,12.209954
PVG,Shanghai,China,31.143333,121.805278
CAQ,Caucasia,Colombia,7.967905,-75.197183
MZV,Mulu,Malaysia,4.033333,114.8
OCC,Coca,Ecuador,-0.462171,-76.985962
BHE,Blenheim,New Zealand,-41.51779,173.871084
TGD,Podgorica,Montenegro,42.368023,19.246024
BET,Bethel,United States,60.784444,-161.831389
YQR,Regina,Canada,50.433326,-104.65519
AJI,Agri,Turkiye,39.65,43.025
RVD,Rio Verde,Brazil,-17.834723,-50.956112
SLC,Salt Lake City,United States,40.785645,-111.980673
HIN,Jinju,Republic of Korea,35.092629,128.086765
LCX,Longyan,China,25.675556,116.745556
SWT,Strezhevoy,Russia,60.7094,77.660004
GEV,Gallivare,Sweden,67.134444,20.816667
WRO,Wroclaw,Poland,51.104822,16.899403
MLE,Male,Maldives,4.19183,73.529108
KMJ,Kumamoto,Japan,32.834132,130.85799
KRY,Karamay,China,45.616667,84.883333
JEG,Aasiaat,Greenland,68.7,-52.75
OGS,Ogdensburg,United States,44.681667,-75.465833
PCQ,Phongsaly,Lao People's Democratic Republic,21.645601,101.900337
BBG,Butaritari,Kiribati,3.166667,172.75
ZZO,Tymovskoye,Russia,50.666668,142.75
ABY,Albany,United States,31.532222,-84.196111
ZSA,San Salvador,Bahamas,24.06,-74.533056
RAH,Rafha,Saudi Arabia,29.623463,43.488786
TMS,Sao Tome Island,Sao Tome and Principe,0.378333,6.725
SXR,Srinagar,India,34.002308,74.762631
RHD,Rio Hondo,Argentina,-27.496667,-64.935958
AAD,Adado,Somalia,6.095833,46.6375
FWA,Fort Wayne,United States,40.98666,-85.187715
UNG,Kiunga,Papua New Guinea,-6.125552,141.286017
YQG,Windsor,Canada,42.266386,-82.95919
LJG,Lijiang,China,26.679975,100.245768
INB,Independence,Belize,16.535536,-88.43826
AAR,Aarhus,Denmark,56.30823,10.626351
BEM,Beni Mellal,Morocco,32.400744,-6.317363
YQZ,Quesnel,Canada,53.026667,-122.509722
KNY,Kinoosao,Canada,57.074994,-102.014098
AMA,Amarillo,United States,35.218274,-101.705134
PXU,Pleiku,Viet Nam,14.006346,108.00896
VLC,Valencia,Spain,39.491792,-0.473475
CKS,Carajas,Brazil,-6.114749,-50.001944
PVH,Porto Velho,Brazil,-8.714311,-63.898307
OBO,Obihiro,Japan,42.732003,143.212437
UBJ,Ube,Japan,33.933397,131.274894
KWZ,Kolwezi,The Democratic Republic of The Congo,-10.766667,25.506944
RTG,Ruteng,Indonesia,-8.596921,120.478345
WLK,Selawik,United States,66.602778,-159.983333
DEB,Debrecen,Hungary,47.488086,21.610472
MXL,Mexicali,Mexico,32.6282,-115.248215
ABM,Bamaga,Australia,-10.942619,142.450334
RIA,Santa Maria,Brazil,-29.710556,-53.6875
CCV,Craig Cove,Vanuatu,-16.2,167.5
MED,Madinah,Saudi Arabia,24.544369,39.698966
ELS,East London,South Africa,-33.038438,27.82892
RSW,Fort Myers,United States,26.527887,-81.755263
HAJ,Hanover,Germany,52.459254,9.694766
BTS,Bratislava,Slovakia,48.170125,17.212665
HDS,Hoedspruit,South Africa,-24.347221,30.94583
AHO,Alghero,Italy,40.630405,8.295891
NYO,Stockholm,Sweden,58.784247,16.922866
HRE,Harare,Zimbabwe,-17.918631,31.099249
HPH,Haiphong,Viet Nam,20.823314,106.727325
HND,Tokyo,Japan,35.553476,139.781206
PER,Perth,Australia,-31.933604,115.960236
SFL,Sao Filipe,Cape Verde,14.9,-24.516667
ABU,Atambua,Indonesia,-9.075208,124.906972
LIL,Lille,France,50.572047,3.106067
ROI,Roi Et,Thailand,16.116736,103.773842
LCK,Columbus,United States,39.817957,-82.935508
WWP,Whale Pass,United States,56.114041,-133.123301
DGT,Dumaguete,Philippines,9.332543,123.296011
AAP,Samarinda,Indonesia,-0.372898,117.250905
PFB,Passo Fundo,Brazil,-28.25,-52.333333
