Departure,Arrival,Airline_IATA,Distance_km,Duration_min
AAA,FAC,VT,76,20
AAA,MKP,VT,215,40
AAE,ALG,AH,411,75
AAE,MRS,AH,767,90
AAE,MRS,V7,767,90
AAE,CDG,AH,1418,140
AAE,ORY,AH,1395,140
AAE,LYS,AH,1014,105
AAE,IST,AH,1872,165
AAE,ORN,AH,768,115
AAE,ELU,SF,379,50
AAE,JED,AH,3455,295
AAE,MED,AH,3324,270
AAE,CZL,AH,122,20
AAK,TRW,IK,142,725
AAL,CPH,D8,236,45
AAL,CPH,SK,236,45
AAL,AMS,KL,625,80
AAL,OSL,SK,353,70
AAL,AGP,D8,2507,220
AAL,AYT,XQ,2727,240
AAL,AYT,PC,2727,240
AAL,STN,FR,848,105
AAL,STN,RK,848,105
AAL,ALC,D8,2226,195
AAL,BCN,D8,1842,170
AAL,FAE,RC,1111,115
AAL,PMI,D8,2018,185
AAL,RNN,DX,378,70
AAL,GRO,FR,1763,170
AAL,KEF,OG,1915,180
AAL,NCE,D8,1505,150
AAL,FNC,D8,3386,290
AAL,TFS,D8,3836,325
AAL,NAP,V7,1829,170
AAL,SCR,SK,484,90
AAM,JNB,5Z,362,75
AAN,CCJ,IX,2594,225
AAN,CAI,NP,2479,230
AAN,ISB,PK,1964,193
AAN,KHT,FG,1721,150
AAN,TUK,PK,775,143
AAP,CGK,ID,1338,125
AAP,CGK,QG,1338,125
AAP,SUB,JT,919,95
AAP,SUB,QG,919,95
AAP,BEJ,IW,280,60
AAQ,LED,5N,1713,170
AAR,CPH,SK,147,40
AAR,OSL,SK,433,75
AAR,ARN,SK,569,70
AAR,BMA,TF,551,90
AAR,STN,FR,836,105
AAR,GDN,FR,541,70
AAR,PMI,FR,1951,175
AAR,PMI,D8,1951,175
AAR,AGP,FR,2459,220
AAR,AGP,D8,2459,220
AAR,ALC,D8,2168,200
AAR,RIX,FR,821,90
AAR,ZAD,FR,1398,140
AAR,FAO,FR,2555,230
AAR,CFU,FR,1978,185
AAR,SCR,SK,555,95
AAT,URC,CZ,430,75
AAT,URC,GS,430,75
AAT,XIY,MU,2268,215
AAT,KRL,G5,698,78
AAT,KCA,G5,782,100
AAT,LHW,9C,1784,180
